"","Song","Singer","singer gender","genre","Location in Top 100","Location In Playlist","Total Number of Lines","Count Check","prop_type","prop_values"
"496","Plain Jane","A$AP Ferg","Male","RapCaviar",NA,16,56,0,"Woman talk Men",0
"497","I Get the Bag","Gucci Mane","Male","RapCaviar",NA,17,119,0,"Woman talk Men",0
"498","Perplexing Pegasus","Rae Sremmurd","Male","RapCaviar",NA,18,52,0,"Woman talk Men",0
"499","Swang","Rae Sremmurd","Male","RapCaviar",NA,19,51,0,"Woman talk Men",0
"500","wokeuplikethis*","Playboi Carti","Male","RapCaviar",NA,20,73,0,"Woman talk Men",0
"501","Rake it Up","Yo Gotti (Ft. Nicki Minaj)","Both","RapCaviar",NA,21,82,0,"Woman talk Men",0.024390243902439
"502","HUMBLE.","Kendrick Lamar","Male","RapCaviar",6,22,70,0,"Woman talk Men",0
"503","iSpy","Kyle","Male","RapCaviar",46,23,80,0,"Woman talk Men",0
"504","Rockstar","Post Malone","Male","RapCaviar",38,24,65,0,"Woman talk Men",0
"505","Met Gala","Gucci Mane","Male","RapCaviar",NA,25,110,0,"Woman talk Men",0
"506","Tunnel Vision","Kodak Black","Male","RapCaviar",NA,26,69,0,"Woman talk Men",0
"507","1-800-273-8266","Logic (Ft. Alessia Cara)","Both","RapCaviar",36,27,93,0,"Woman talk Men",0
"508","Perfect Pint","Mike WiLL Made-it","Male","RapCaviar",NA,28,65,0,"Woman talk Men",0
"509","Gyalchester","Drake","Male","RapCaviar",NA,29,42,0,"Woman talk Men",0
"510","Crew REMIX","Goldlink","Male","RapCaviar",NA,30,75,0,"Woman talk Men",0
"511","Ahora Dice","Chris Jeday","Male","Trap Land",93,1,92,0,"Woman talk Men",0
"512","Bodak Yellow","Cardi B (Ft. Messiah)","Both","Trap Land",NA,2,66,0,"Woman talk Men",0.106060606060606
"513","No Te Hagas","Jory Boy","Male","Trap Land",NA,3,70,0,"Woman talk Men",0
"514","Pa Ti","Bad Bunny","Male","Trap Land",NA,4,62,0,"Woman talk Men",0
"515","Krippy Kush","Farruko","Male","Trap Land",NA,5,77,0,"Woman talk Men",0
"516","Vuelve","Daddy Yankee","Male","Trap Land",NA,6,95,0,"Woman talk Men",0
"517","47 - Remix","Anuel Aa","Male","Trap Land",NA,7,204,0,"Woman talk Men",0
"518","Doble Personalidad","Trap Capos","Male","Trap Land",NA,8,79,0,"Woman talk Men",0
"519","Lo Siento","Kaydy Cain","Male","Trap Land",NA,9,79,0,"Woman talk Men",0
"520","Ahora Me Llama","Karol G","Both","Trap Land",NA,10,61,0,"Woman talk Men",0.213114754098361
"521","Nunca Me Amo","Jon Z","Male","Trap Land",NA,11,69,0,"Woman talk Men",0
"522","Me Llueven","Mark B","Male","Trap Land",NA,12,86,0,"Woman talk Men",0
"523","Male Mujer","C. Tangana","Male","Trap Land",NA,13,49,0,"Woman talk Men",0
"524","Angel y Diabla","Hadrian","Male","Trap Land",NA,14,52,0,"Woman talk Men",0
"525","Haters - Remix","J Alvarez","Male","Trap Land",NA,15,127,0,"Woman talk Men",0
"526","Que Tengo Que Hacer","Lary Over","Male","Trap Land",NA,16,58,0,"Woman talk Men",0
"527","Chambea","Bad Bunny","Male","Trap Land",NA,17,51,0,"Woman talk Men",0
"528","Sexto Sentido","Gigolo Y la Exce","Male","Trap Land",NA,18,63,0,"Woman talk Men",0
"529","Loca","Cazzu (Ft. Khea)","Both","Trap Land",NA,19,79,0,"Woman talk Men",0.253164556962025
"530","Luna Llena","Paulo Londra","Male","Trap Land",NA,20,65,0,"Woman talk Men",0
